day,demand_modifier,event_label,lead_time_modifier,mfg_daily_capacity,mfg_finished_P3D-Classic,mfg_finished_P3D-Mini,mfg_finished_P3D-Pro,mfg_finished_total,mfg_orders_shipped_today,mfg_part_CTRL-V2,mfg_part_CTRL-V3,mfg_part_cables_conexion,mfg_part_enchufe_schuko,mfg_part_extrusor,mfg_part_kit_piezas,mfg_part_pcb,mfg_part_sensor_autonivel,mfg_part_transformador_24v,mfg_parts_total,mfg_po_open,mfg_price_P3D-Classic,mfg_price_P3D-Mini,mfg_price_P3D-Pro,mfg_so_completed,mfg_so_delivered,mfg_so_in_progress,mfg_so_pending,mfg_so_released,mfg_so_shipped,mfg_utilisation_pct,orders_backordered_today,orders_backordered_total,orders_fulfilled_today,orders_placed_today,prov_orders_delivered,prov_orders_delivered_today,prov_orders_in_transit,prov_orders_pending,prov_price_CTRL-V2,prov_price_CTRL-V2_t1,prov_price_CTRL-V2_t20,prov_price_CTRL-V3,prov_price_CTRL-V3_t1,prov_price_CTRL-V3_t20,prov_price_cables_conexion,prov_price_cables_conexion_t1,prov_price_cables_conexion_t100,prov_price_enchufe_schuko,prov_price_enchufe_schuko_t1,prov_price_enchufe_schuko_t100,prov_price_extrusor,prov_price_extrusor_t1,prov_price_extrusor_t10,prov_price_kit_piezas,prov_price_kit_piezas_t1,prov_price_kit_piezas_t10,prov_price_pcb,prov_price_pcb_t1,prov_price_pcb_t20,prov_price_pcb_t200,prov_price_sensor_autonivel,prov_price_sensor_autonivel_t1,prov_price_sensor_autonivel_t20,prov_price_transformador_24v,prov_price_transformador_24v_t1,prov_price_transformador_24v_t50,prov_stock_CTRL-V2,prov_stock_CTRL-V3,prov_stock_cables_conexion,prov_stock_enchufe_schuko,prov_stock_extrusor,prov_stock_kit_piezas,prov_stock_pcb,prov_stock_sensor_autonivel,prov_stock_transformador_24v,prov_total_stock,ret_po_open,ret_price_P3D-Classic,ret_price_P3D-Mini,ret_price_P3D-Pro,ret_stock_P3D-Classic,ret_stock_P3D-Mini,ret_stock_P3D-Pro,ret_total_stock,scenario,supply_modifier
11,3.0,Black Friday,1.0,16,2,3,0,5,2,20,14,129,78,18,10,29,9,29,336,36,370.0,215.0,560.0,0,10,2,3,13,2,25.0,35,176,5,35,36,6,36,0,39.0,45.0,39.0,48.0,55.0,48.0,5.5,8.0,5.5,3.5,5.0,3.5,50.0,60.0,50.0,135.0,150.0,135.0,25.0,40.0,32.0,25.0,29.0,35.0,29.0,18.0,22.0,18.0,84,124,876,372,44,1,272,59,22,1854,20,479.99,279.99,729.99,0,0,0,0,holiday-rush,1.0
11,3.0,Black Friday,1.0,16,2,3,0,5,2,61,5,184,112,0,20,69,0,69,520,30,370.0,215.0,560.0,0,12,1,0,15,2,56.2,35,164,5,35,42,6,30,0,39.0,45.0,39.0,48.0,55.0,48.0,5.5,8.0,5.5,3.5,5.0,3.5,50.0,60.0,50.0,135.0,150.0,135.0,25.0,40.0,32.0,25.0,29.0,35.0,29.0,18.0,22.0,18.0,276,124,876,372,356,239,272,59,478,3052,18,479.99,279.99,729.99,0,0,0,0,holiday-rush,1.0
12,3.0,Black Friday,1.0,16,2,3,0,5,2,80,8,303,173,5,54,97,0,97,817,21,370.0,215.0,560.0,0,14,3,3,13,0,150.0,35,230,12,35,52,6,21,0,39.0,45.0,39.0,48.0,55.0,48.0,5.5,8.0,5.5,3.5,5.0,3.5,50.0,60.0,50.0,135.0,150.0,135.0,25.0,40.0,32.0,25.0,29.0,35.0,29.0,18.0,22.0,18.0,276,118,876,372,356,239,272,59,478,3046,19,479.99,279.99,729.99,0,0,0,0,holiday-rush,1.0
13,1.5,Chip shortage,2.0,16,2,3,0,5,0,100,17,256,131,28,55,131,0,131,849,21,370.0,215.0,560.0,0,14,4,3,13,2,318.8,35,242,4,35,61,10,21,0,39.0,45.0,39.0,48.0,55.0,48.0,5.5,8.0,5.5,3.5,5.0,3.5,50.0,60.0,50.0,135.0,150.0,135.0,25.0,40.0,32.0,25.0,29.0,35.0,29.0,18.0,22.0,18.0,217,108,756,297,311,164,197,43,403,2496,22,503.99,293.99,766.49,0,0,0,0,holiday-rush,0.4
14,1.5,Chip shortage,2.0,16,2,3,0,5,2,58,31,188,89,41,89,89,8,89,682,15,370.0,215.0,560.0,0,16,4,6,10,3,293.8,12,247,0,12,67,9,15,0,39.0,45.0,39.0,48.0,55.0,48.0,5.5,8.0,5.5,3.5,5.0,3.5,50.0,60.0,50.0,135.0,150.0,135.0,25.0,40.0,32.0,25.0,29.0,35.0,29.0,18.0,22.0,18.0,217,108,756,539,311,164,439,79,403,3016,23,503.99,293.99,766.49,0,0,0,0,holiday-rush,0.4
16,1.5,Chip shortage,2.0,16,2,3,0,5,2,2,23,83,25,58,25,25,9,25,275,19,370.0,215.0,560.0,0,19,8,6,10,2,562.5,17,218,46,17,70,3,19,0,39.0,45.0,39.0,48.0,55.0,48.0,5.5,8.0,5.5,3.5,5.0,3.5,50.0,60.0,50.0,135.0,150.0,135.0,25.0,40.0,32.0,25.0,29.0,35.0,29.0,18.0,22.0,18.0,159,108,664,484,274,109,384,79,348,2609,26,503.99,293.99,766.49,0,0,0,0,holiday-rush,0.4
16,1.5,Chip shortage,2.0,16,2,3,0,5,2,2,21,59,17,42,17,17,15,17,207,25,370.0,215.0,560.0,0,21,4,0,15,5,256.2,34,214,46,34,73,3,25,0,39.0,45.0,39.0,48.0,55.0,48.0,5.5,8.0,5.5,3.5,5.0,3.5,50.0,60.0,50.0,135.0,150.0,135.0,25.0,40.0,32.0,25.0,29.0,35.0,29.0,18.0,22.0,18.0,94,99,531,407,218,32,307,70,271,2029,24,503.99,293.99,766.49,0,0,0,0,holiday-rush,0.4
18,3.75,Chip shortage + Christmas rush,3.0,16,2,3,0,5,2,2,6,134,77,12,2,2,0,2,237,23,370.0,215.0,560.0,0,26,5,3,12,2,193.8,43,200,57,43,75,2,23,0,39.0,45.0,39.0,48.0,55.0,48.0,5.5,8.0,5.5,3.5,5.0,3.5,50.0,60.0,50.0,135.0,150.0,135.0,25.0,40.0,32.0,25.0,29.0,35.0,29.0,18.0,22.0,18.0,94,99,531,407,218,32,307,70,271,2029,22,503.99,293.99,766.49,0,0,0,0,holiday-rush,0.24
18,3.75,Chip shortage + Christmas rush,3.0,16,2,3,0,5,2,2,6,134,77,12,2,2,0,2,237,27,370.0,215.0,560.0,0,28,4,3,15,1,143.8,86,218,57,86,75,2,27,0,39.0,45.0,39.0,48.0,55.0,48.0,5.5,8.0,5.5,3.5,5.0,3.5,50.0,60.0,50.0,135.0,150.0,135.0,25.0,40.0,32.0,25.0,29.0,35.0,29.0,18.0,22.0,18.0,94,68,681,407,192,53,307,39,271,2112,23,503.99,293.99,766.49,0,0,0,0,holiday-rush,0.24
20,3.75,Chip shortage + Christmas rush,3.0,16,2,3,0,5,1,61,6,226,132,12,2,77,0,77,593,22,370.0,215.0,560.0,0,29,3,5,16,1,93.8,44,254,8,44,80,5,22,0,39.0,45.0,39.0,48.0,55.0,48.0,5.5,8.0,5.5,3.5,5.0,3.5,50.0,60.0,50.0,135.0,150.0,135.0,25.0,40.0,32.0,25.0,29.0,35.0,29.0,18.0,22.0,18.0,94,68,681,407,192,53,307,39,271,2112,25,503.99,293.99,766.49,0,0,0,0,holiday-rush,0.24
21,2.5,Christmas rush,1.5,16,2,3,0,5,3,61,6,359,209,12,2,77,0,77,803,27,370.0,215.0,560.0,0,30,0,3,21,3,0.0,30,276,8,30,82,2,27,0,39.0,45.0,39.0,48.0,55.0,48.0,5.5,8.0,5.5,3.5,5.0,3.5,50.0,60.0,50.0,135.0,150.0,135.0,25.0,40.0,32.0,25.0,29.0,35.0,29.0,18.0,22.0,18.0,69,117,581,352,163,38,252,69,216,1857,27,503.99,293.99,766.49,0,0,0,0,holiday-rush,0.6
21,2.5,Christmas rush,1.5,16,2,3,0,5,3,119,16,359,209,12,77,132,0,132,1056,22,370.0,215.0,560.0,0,33,0,5,22,0,0.0,60,291,8,60,87,2,22,0,39.0,45.0,39.0,48.0,55.0,48.0,5.5,8.0,5.5,3.5,5.0,3.5,50.0,60.0,50.0,135.0,150.0,135.0,25.0,40.0,32.0,25.0,29.0,35.0,29.0,18.0,22.0,18.0,135,117,952,352,163,87,252,69,216,2343,27,503.99,293.99,766.49,0,0,0,0,holiday-rush,0.6
22,2.5,Christmas rush,1.5,16,2,3,0,5,0,119,16,282,144,0,12,144,0,144,861,19,370.0,215.0,560.0,0,33,5,4,18,0,406.2,0,291,15,29,90,5,19,0,39.0,45.0,39.0,48.0,55.0,48.0,5.5,8.0,5.5,3.5,5.0,3.5,50.0,60.0,50.0,135.0,150.0,135.0,25.0,40.0,32.0,25.0,29.0,35.0,29.0,18.0,22.0,18.0,135,117,952,352,163,87,252,69,216,2343,27,503.99,293.99,766.49,0,0,0,0,holiday-rush,0.6
23,2.5,Christmas rush,1.5,16,2,3,0,5,0,119,16,382,199,45,67,144,0,144,1116,19,370.0,215.0,560.0,0,33,2,6,22,3,75.0,26,346,0,26,94,3,19,0,39.0,45.0,39.0,48.0,55.0,48.0,5.5,8.0,5.5,3.5,5.0,3.5,50.0,60.0,50.0,135.0,150.0,135.0,25.0,40.0,32.0,25.0,29.0,35.0,29.0,18.0,22.0,18.0,20,117,822,242,143,87,252,69,216,1968,33,503.99,293.99,766.49,0,0,0,0,holiday-rush,0.6
24,2.5,Christmas rush,1.5,16,2,3,0,5,3,62,25,298,142,8,87,87,0,87,796,16,370.0,215.0,560.0,0,36,4,6,18,2,356.2,28,321,0,28,97,4,16,0,39.0,45.0,39.0,48.0,55.0,48.0,5.5,8.0,5.5,3.5,5.0,3.5,50.0,60.0,50.0,135.0,150.0,135.0,25.0,40.0,32.0,25.0,29.0,35.0,29.0,18.0,22.0,18.0,212,117,822,670,143,87,252,69,216,2588,30,503.99,293.99,766.49,0,0,0,0,holiday-rush,0.6
